From DC;To Country;Channel;Max Pallet Weight kg;Fixed Cost per Pallet EUR;Variable Cost EUR per kg;Last-mile Share %;Linehaul Share %;Formula (Pallets);Formula (Total Transport Cost);Formula (Last-mile Cost);Formula (Linehaul Cost);Linehaul Leg;Last-mile Leg
BE-DC3;EE;Pharmacy;200;110,28;0,1103;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;EE;Retail;200;104,04;0,1071;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;EE;Retail Sport;200;101,96;0,106;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;ES;E-commerce;200;123,38;0,1071;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;ES;Pharmacy;200;116,77;0,1051;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;ES;Retail;200;110,16;0,102;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;ES;Retail Sport;200;107,96;0,101;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;FI;E-commerce;200;105,1;0,1017;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;FI;Pharmacy;200;99,47;0,0998;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;FI;Retail;200;93,84;0,0969;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;FI;Retail Sport;200;91,96;0,0959;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;FR;E-commerce;200;59,4;0,075;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;FR;Pharmacy;200;56,22;0,0735;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;FR;Retail;200;53,04;0,0714;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;FR;Retail Sport;200;51,98;0,0707;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;GR;E-commerce;200;123,38;0,1071;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;GR;Pharmacy;200;116,77;0,1051;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;GR;Retail;200;110,16;0,102;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;GR;Retail Sport;200;107,96;0,101;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;HR;E-commerce;200;89,11;0,091;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;HR;Pharmacy;200;84,33;0,0893;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;HR;Retail;200;79,56;0,0867;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;HR;Retail Sport;200;77,97;0,0858;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;HU;E-commerce;200;89,11;0,091;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;HU;Pharmacy;200;84,33;0,0893;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;HU;Retail;200;79,56;0,0867;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;HU;Retail Sport;200;77,97;0,0858;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;IE;E-commerce;200;59,4;0,075;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;IE;Pharmacy;200;56,22;0,0735;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;IE;Retail;200;53,04;0,0714;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;IE;Retail Sport;200;51,98;0,0707;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;IT;E-commerce;200;123,38;0,1071;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;IT;Pharmacy;200;116,77;0,1051;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;IT;Retail;200;110,16;0,102;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;IT;Retail Sport;200;107,96;0,101;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LT;E-commerce;200;116,52;0,1125;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LT;Pharmacy;200;110,28;0,1103;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LT;Retail;200;104,04;0,1071;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LT;Retail Sport;200;101,96;0,106;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LU;E-commerce;200;59,4;0,075;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LU;Pharmacy;200;56,22;0,0735;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LU;Retail;200;53,04;0,0714;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LU;Retail Sport;200;51,98;0,0707;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LV;E-commerce;200;116,52;0,1125;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LV;Pharmacy;200;110,28;0,1103;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LV;Retail;200;104,04;0,1071;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;LV;Retail Sport;200;101,96;0,106;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;MT;E-commerce;200;166,56;0,1285;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;MT;Pharmacy;200;157,64;0,1261;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;MT;Retail;200;148,72;0,1224;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;MT;Retail Sport;200;145,74;0,1212;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;NL;E-commerce;200;59,4;0,075;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;NL;Pharmacy;200;56,22;0,0735;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;NL;Retail;200;53,04;0,0714;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;NL;Retail Sport;200;51,98;0,0707;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;PL;E-commerce;200;89,11;0,091;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;PL;Pharmacy;200;84,33;0,0893;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;PL;Retail;200;79,56;0,0867;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;PL;Retail Sport;200;77,97;0,0858;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;PT;E-commerce;200;123,38;0,1071;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;PT;Pharmacy;200;116,77;0,1051;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;PT;Retail;200;110,16;0,102;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;PT;Retail Sport;200;107,96;0,101;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;RO;E-commerce;200;89,11;0,091;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;RO;Pharmacy;200;84,33;0,0893;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;RO;Retail;200;79,56;0,0867;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;RO;Retail Sport;200;77,97;0,0858;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SE;E-commerce;200;105,1;0,1017;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SE;Pharmacy;200;99,47;0,0998;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SE;Retail;200;93,84;0,0969;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SE;Retail Sport;200;91,96;0,0959;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SI;E-commerce;200;89,11;0,091;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SI;Pharmacy;200;84,33;0,0893;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SI;Retail;200;79,56;0,0867;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SI;Retail Sport;200;77,97;0,0858;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SK;E-commerce;200;89,11;0,091;0,12;0,88;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SK;Pharmacy;200;84,33;0,0893;0,1;0,9;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SK;Retail;200;79,56;0,0867;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
BE-DC3;SK;Retail Sport;200;77,97;0,0858;0,08;0,92;CEILING(Order_Total_Weight_kg / 200);Pallets * Fixed_Cost_per_Pallet + Order_Total_Weight_kg * Variable_Cost_per_kg;Total_Transport_Cost * Last-mile_Share;Total_Transport_Cost - Last-mile_Cost;BE Hub ? Local Hub;Local Hub ? Customer
